0.0		-4.621
0.0		-4.793
0.0		-4.963
0.0		-4.646
0.0		-4.839
0.0		-4.859
0.0		-4.508
0.0		-4.677
0.0		8.174
0.0		-3.902
0.0		-0.931
0.0		-4.296
0.0		-4.891
0.0		-2.248
0.0		7.256
0.0		0.559
0.0		-1.276
0.0		-3.830
0.0		-5.026
0.0		-4.178
0.0		-4.865
0.0		-2.462
0.0		-1.489
0.0		-4.409
0.0		2.985
0.0		-3.612
0.0		-4.741
0.0		-4.669
1.0		17.123
1.0		9.661
1.0		9.053
1.0		0.877
1.0		14.304
1.0		11.842
1.0		14.532
1.0		8.911
1.0		29.862
1.0		13.111
1.0		7.633
1.0		28.200
1.0		11.313
1.0		1.632
1.0		25.672
1.0		30.806
1.0		9.573
1.0		4.212
1.0		4.107
1.0		10.981
1.0		14.343
1.0		12.046
1.0		13.889
1.0		3.206
1.0		7.865
1.0		19.208
1.0		8.928
1.0		-1.914
1.0		26.399
1.0		13.051
1.0		11.532
1.0		26.820
1.0		17.077
1.0		9.187
1.0		23.579
1.0		5.228
1.0		6.592
1.0		6.597
1.0		6.550
1.0		0.258
1.0		-0.964
1.0		15.489
1.0		13.465
1.0		28.075
1.0		11.269
1.0		13.481
1.0		14.343
1.0		-4.138
1.0		4.012
1.0		7.661
1.0		2.122
1.0		5.520
1.0		-4.397
1.0		12.156
1.0		15.479
1.0		-2.084
1.0		18.581
1.0		19.001
1.0		18.120
1.0		24.606
1.0		24.651
1.0		9.382
1.0		13.626
1.0		5.018
1.0		15.572
1.0		7.114
1.0		0.121
1.0		17.927
1.0		11.767
1.0		11.490
1.0		-4.347
1.0		-4.324
1.0		-5.113
1.0		-2.737
1.0		12.808
1.0		-0.777
1.0		2.837
1.0		19.791
1.0		-5.189
1.0		26.766
1.0		15.678
1.0		14.710
1.0		13.489
1.0		-4.470
1.0		21.651
1.0		23.431
1.0		5.604
1.0		6.422
AUC-ROC: 0.9163961038961039
AUC-PR: 0.9742207346739489
